logL(WHz^-1)	FRI		FRII		FRI ERR+	FRI ERR-	FRII ERR+	FRII ERR-	
24.7		-6.32		-6.69		0.32		-0.5		0.38		-0.54
25.1		-5.64		-6.43		0.26		-0.45		0.25		-0.41
25.5		-5.73		-6.51		0.21		-0.38		0.22		-0.37
25.9		-5.9		-6.43		0.19		-0.34		0.21		-0.35
26.3		-6.36		-6.49		0.19		-0.33		0.2		-0.33
26.7		-6.97		-7.02		0.23		-0.33		0.23		-0.33
27.1		--		-6.8		--		--		0.19		-0.29
27.5		-7.88		-7.42		0.63		-0.63		0.3		-0.35
27.9		--		-7.93		--		--		0.6		-0.62
28.3		--		--		--		--		--		--
