#Glxy_N Dist           Sigma           M_bulge          M_galaxy       L_OIII          L_core_R   Re_arcsec		Re_kpc                          Radiomorphology 
N2976	1.29		36.0		5.66999102	8.75180721	36.58		33.24	   0.001482		8.892000077292323E-6		0
N2985	19.8		140.8		10.7886295	10.9594822	38.69		35.81	   1.461955	        0.13888572325721382		1
N3031	0.69		161.6		9.51741791	9.91988564	37.72		35.5	   0.241707	        7.251210063030012E-4		1
N3034	4.03		129.5		8.74919033	10.9230747	38.33		34.28	   0.068305		0.0012977949582692236		6
N3073	19.1		35.6		9.65079308	9.87492275	38.02		35.26	   1.3686839		0.12591891904473976		0
N3077	1.42		32.4		0.00000000	8.97912502	37.15		33.32	   0.00000000		0.00000000			1
N3079	18.3		182.3		10.2029991	10.9984922	37.67		37.27	   2.187768		0.19252358295679095		3
N3184	11.4		43.3		8.72056007	10.1678448	37.31		34.64	   0.316122		0.01801895400942117		0
N3185	22.0		79.3		10.3128786	10.6247196	39.44		35.15	   2.086186		0.22113571338872612		0
N3190	21.8		188.1		10.7925625	11.7418957	38.71		35.32	   0.32			0.0348799991607666		0
N3193	24.3		194.3		11.3677597	11.4232731	38.42		35.23	   2.259036		0.26430720903772115		0
N3198	12.6		46.1	        10.4852552	10.7922583	36.97		35.02	   2.0501492		0.12505910260528177		1
N3245	22.3		209.9		10.5730257	10.8343029	38.70		35.71	   1.502368		0.16826522119379042		5
N3319	14.1		87.4		9.49158573	9.9424715	37.07		34.84	   1.9013481		0.12929167782640905		0
N3344	12.3		73.6		9.25196457	10.4512291	38.24		34.11	   0.267034	        0.016556107729420066		0
N3348	41.8		236.4		11.3919792	11.3919792	0.000		36.59	   4.402676		0.8761325281987189		3
N3414	24.4		236.8		11.3242521	11.399231	39.06		36.2	   3.414414	 	0.41655851268084343		3
N3448	21.0		50.7		10.2892094	10.6288834	39.48		35.55	   0.93386996		0.0980563427385357		1
N3486	14.1		65.0	        9.3317728	10.0061932	37.93		34.26	   0.31878403		0.02167731521806255		0
N3504	26.2		119.3		10.6184053	10.8093958	39.88		37.3	   3.408174	 	0.429429930906862		1
N3516	37.5		181.0		11.0531921	11.5893803	40.80		36.84	   3.8462942		0.715410738165018		3
N3600	13.2		49.8		9.22146511	9.75805759	38.21		34.66	   0.490105	        0.032837035817950964		0
N3610	25.6		161.2		10.5497103	10.5852013	0.000		35.56	   1.7386241		0.22254389537026734		0
N3613	31.7		220.1		10.9270525	11.1690912	0.000		35.69	   2.087112		0.31724101379907127		0
N3631	19.2		43.9		10.1470795	10.2253332	38.01		35.23	   1.091488	   	0.10041689619517326		0
N3642	24.9		85.0		9.41435242	10.1240587	38.96		35.55	   0.26076	  	0.03129119930058718		0
N3665	32.1		236.8		12.5000000	12.600000	38.28		36.85	   6.192	   	0.9907199778556824		2
N3675	13.8		108.0		9.41810703	11.5744791	37.79		34.96	   0.077349	        0.0053370808662995695		1
N3718	16.9		158.1		10.4665222	10.6793108	37.41		36.78	   1.2624661		0.10225975440099537		1
N3729	17.8		76.2		8.88463306	9.94359779	36.60		35.85	   0.22850202		0.019651174387369304		1
N3756	21.4		47.6		9.24642754	10.3513165	37.04		35.29	   0.702975	        0.07240642508380116		0
N3838	21.0		141.4		9.99490452	11.3608866	0.000		35.44	   0.19361702		0.01955531970088795		6
N3884	107.0	 	208.3		11.5545645	12.0307035	40.20		37.79	   2.47	                1.2201799699664118		1
N3898	19.2	 	206.5		10.9968376	11.133234	38.52		35.84	   1.263436	        0.11623611222591997		1
N3900	30.2		139.2		10.7370253	11.0469065	38.35		35.63	   1.103328	        0.15887922516059877		0
N3945	20.3		191.5		10.0292377	11.0393133	38.39		35.77	   0.40179998		0.03937639701018676		3
N3949	14.5		82.0		9.62045670	9.82194614	37.44		35.05	   0.72394		0.05067580021575094		0
N3982	18.3		73.0		8.66141510	9.21007633	39.83		36.15	   0.23012	        0.020250559890270234		1
N3992	17.6		148.4		9.81511784	10.8560019	37.10		35.07	   0.314415		0.026725275281108917		0
N3998	17.4		304.6		10.8537865	11.1602154	39.56		37.98	   0.431676	 	0.036260783511132		1
N4026	16.9		177.2		11.3145285	11.6106091	0.000		35.11	   1.045872		0.08471563224935531		0
N4036	21.7		215.1		10.5043373	11.3895626	39.16		35.99	   0.316888		0.03295635267996788		3
N4041	19.5		95.0		9.84839439	10.1771183	38.24		35.5	   0.66542596		0.0625500380982262		5
N4062	14.9		93.2		8.38139725	10.3623676	36.51		34.63	   0.196704	       	0.014162687390327453		0
N4096	11.1		79.5		8.99378777	10.3723125	36.15		34.53	   0.253658	       	0.013443873841248453		0
N4102	14.7		174.3		10.6042776	10.7921791	39.10		35.91	   0.562533	       	0.0399398443076536		5
N4125	21.0		226.7		11.2643194	11.2651873	38.71		35.36	   4.847293		0.48957661004634945		0
N4138	16.0		120.9		10.5652475	10.7936115	38.75		35.29	   1.3660569		0.10518638073003665		0
N4143	16.9		204.9		10.9236383	11.2317753	38.81		36.13	   0.377379		0.030567699089974167		2
N4144	6.84		64.3		5.54337502	9.2628231	36.26		34.02	   0.007491		2.4720299866050485E-4		0
N4150	7.05		87.0		9.0243969	9.80671406	35.83		34.62	   0.064634		0.002197556119427085		0
N4151	17.8		97.0		10.1407547	10.7946014	41.74		37.75	   0.243982		0.020982452712580563		3
N4183	16.6		34.4		0.00000000	9.83958149	37.90		35.17	   0.00000000		0.00000000			0
N4203	19.5		167.0		10.8975182	11.2392073	38.28		36.09	   0.589944		0.05545473410117627		1
N4217	17.7		91.3		10.5980291	11.1105537	36.93		35.23	   2.3554351		0.20021198560592307		3
N4220	16.0		105.5		10.0600901	10.7438002	36.19		35.25	   0.530222		0.04082709377877414		1
N4242	10.3		0.000		6.67858982	9.50324535	36.30		34.42	   0.00625		3.125000046566129E-4		6
N4244	7.09		36.8		7.65127802	10.5324850	36.05		33.83	   0.00901		3.0634001664817334E-4		1
N4245	16.7		82.7		10.2029676	10.5742722	37.36		34.64	   0.478629		0.03876894911411405		0
N4258	9.36		148.0		10.8533592	11.5285702	38.76		34.93	   1.49319	        0.06719355267003178		1
N4274	17.4		96.6		9.57532215	10.4428520	38.49		34.62	   0.353136		0.02966342360007763		0
N4278	15.6		237.0		11.0000000	11.0000000	38.88		37.6	   1.2524		0.07764879873096943		1
N4291	25.5		293.0		10.9000000	10.9000000	0.000		35.5	   1.6864		0.20911359658241271		0
N4314	17.8		117.0		10.7375288	11.1179228	37.75		34.65	   1.106016		0.09069331450510026	        0
N4414	14.2		117.0		10.3871241	10.7734537	36.46		34.68	   0.350856		0.023156495874524115		0
N4448	13.5		119.8		10.5624666	10.7576685	37.34		34.47	   0.822906		0.051843078833833336		0
N4449	6.09		17.8		8.36481476	9.76141167	38.28		33.58	   0.134652		0.003770256116375327		0
N4485	10.3		52.2		8.72074795	8.92357254	36.95		34.32	   0.930288		0.0446538243881464		0
N4490	11.4		45.1		9.44766903	10.2036753	37.12		34.33	   0.89999306		0.04769963161674045		0
N4559	15.6		49.2		8.05747604	9.45258713	37.01		34.49	   0.41436		0.029833918715715408		0
N4565	21.8		136.0		11.1635122	11.9278355	38.22		35.2	   1.1101		0.11101000165417792		1
N4589	29.2		224.5		11.0221500	11.0221500	38.78		37.45	   9.8412		1.3679267859220505		3
N4605	3.7		26.1	        8.99011040	9.29101658	36.63		33.77	   0.72936803		0.012399257183842695		0
N4648	21.0		224.5		10.0500669	10.4180489	0.000		35.45	   0.359055	        0.0362645562626794		0
N4656	13.0		70.4		0.00000000	9.77117634	37.93		34.32	   0.00000000		0.000000000000000000	        0
N4736	7.59		112.0		10.5028868	11.1300135	37.33		34.82	   0.250823	        0.009280451119601726		1
N4750	24.1		136.0		10.2265291	10.7547579	38.76		35.84	   1.024075	        0.11776862713638694		1
N4800	15.6		111.0		10.3450289	10.4125795	37.62		34.91	   1.064775	        0.07985812817327678		0
N4826	10.0		96.0		10.5004492	11.2260561	37.92		33.88	   0.47078398		0.022597631236426382		1
N4914	70.8		224.7		11.6005487	11.6005487	0.000		36.17	   14.1764	        4.706564620864391		0
N5005	16.8		172.0		11.0303783	11.096838	39.41		36.29	   1.828413	        0.14810145343592762		4
N5033	15.8		151.0		9.89996624	10.8255444	39.34		36.04	   0.526908		0.04004500671234727		1
N5055	9.85		117.0		9.50651646	11.0493059	37.44		34.37	   0.157152	        0.007543296065568923		0
