|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  0.6071|          |      8.414|  44.593|       -1.935|            |ndRI       |
|  0.6075|          |      9.009|  45.623|       -1.500|            |ndRI       |
|  0.6102|          |      9.106|  45.057|       -2.163|            |ndRI       |
|  0.6152|          |      8.071|  44.974|       -1.211|            |NC         |
|  0.6157|          |      8.743|  45.841|       -1.016|            |ndRI       |
|  0.6229|    1.6239|      8.747|  45.918|       -0.943|      1.1331|dRI        |
|  0.6290|          |      8.601|  45.805|       -0.910|            |NC         |
|  0.6307|          |      8.045|  44.797|       -1.363|            |ndRI       |
|  0.6318|   11.1255|      9.063|  46.967|       -0.209|      7.7841|RL         |
|  0.6411|          |      7.937|  45.080|       -0.971|            |NC         |
|  0.6424|    1.1070|      9.236|  46.552|       -0.798|      0.7770|dRI        |
|  0.6457|          |      8.496|  45.309|       -1.301|            |NC         |
|  0.6460|          |      9.477|  46.961|       -0.629|            |RQ         |
|  0.6468|  195.6446|      9.544|  46.775|       -0.883|    137.5127|RL         |
|  0.6473|          |      8.047|  45.428|       -0.732|            |ndRI       |
|  0.6499|          |      8.529|  45.495|       -1.147|            |ndRI       |
|  0.6531|    0.9903|      8.160|  46.136|       -0.138|      0.6974|dRI        |
|  0.6542|          |      8.108|  45.462|       -0.759|            |NC         |
|  0.6555|          |      8.410|  46.153|       -0.371|            |ndRI       |
|  0.6559|          |      8.786|  45.974|       -0.926|            |ndRI       |
|  0.6576|          |      8.307|  45.480|       -0.941|            |ndRI       |
|  0.6604|          |      8.434|  46.374|       -0.174|            |ndRI       |
|  0.6607|          |      8.226|  46.024|       -0.316|            |ndRI       |
|  0.6633|          |      9.010|  45.902|       -1.222|            |ndRI       |
|  0.6664|          |      8.900|  46.151|       -0.862|            |ndRI       |
|  0.6682|          |      8.623|  46.148|       -0.589|            |ndRI       |
|  0.6687|          |      7.921|  45.200|       -0.836|            |NC         |
|  0.6694|          |      9.456|  46.219|       -1.351|            |ndRI       |
|  0.6736|          |      8.704|  45.888|       -0.929|            |ndRI       |
|  0.6761|          |      9.003|  46.547|       -0.571|            |ndRI       |
|  0.6804| 2777.4840|      8.548|  47.459|        0.798|   1972.0334|RL         |
|  0.6819|    0.6263|      8.998|  44.872|       -2.240|      0.4449|dRI        |
|  0.6881|          |      8.202|  45.662|       -0.654|            |NC         |
|  0.6971|          |      8.609|  46.243|       -0.480|            |ndRI       |
|  0.6984|          |      8.133|  45.779|       -0.468|            |ndRI       |
|  0.6987|          |      8.403|  46.007|       -0.510|            |NC         |
|  0.7029|          |      8.446|  45.116|       -1.445|            |ndRI       |
|  0.7035|    1.8317|      8.446|  45.989|       -0.570|      1.3094|ndRI       |
|  0.7058|  139.4560|      8.234|  45.925|       -0.422|     99.7617|RL         |
|  0.7163|          |      9.294|  46.180|       -1.228|            |ndRI       |
|  0.7206|          |      8.007|  45.540|       -0.581|            |NC         |
|  0.7238|          |      8.830|  46.384|       -0.559|            |ndRI       |
|  0.7265|          |      8.404|  45.467|       -1.051|            |ndRI       |
