|redshift|flux_20_cm|log_bh_mass|log_lbol|log_lbol_ledd|rf_flux_6_cm|radio_class|
|  1.2872|          |      8.650|  46.373|       -0.391|            |NC         |
|  1.2882|          |      9.123|  46.931|       -0.305|            |           |
|  1.2923|          |      8.249|  46.230|       -0.133|            |NC         |
|  1.2925|          |      9.500|  45.354|       -2.260|            |RQ         |
|  1.2934|          |      9.141|  46.800|       -0.455|            |ndRI       |
|  1.2947|          |      8.855|  46.056|       -0.913|            |NC         |
|  1.2968|          |      9.184|  46.437|       -0.861|            |           |
|  1.2974|          |      8.939|  45.532|       -1.521|            |NC         |
|  1.3061|          |      8.508|  45.683|       -0.939|            |NC         |
|  1.3091|          |      9.074|  46.594|       -0.594|            |ndRI       |
|  1.3186|          |      8.728|  45.811|       -1.032|            |NC         |
|  1.3212|          |      8.857|  46.510|       -0.461|            |ndRI       |
|  1.3216|    1.6965|      8.561|  45.134|       -1.541|      1.4158|NC         |
|  1.3259|          |      8.625|  46.447|       -0.293|            |NC         |
|  1.3262|          |      9.276|  46.274|       -1.117|            |ndRI       |
|  1.3274|          |      9.174|  45.526|       -1.762|            |ndRI       |
|  1.3295|          |      8.852|  45.332|       -1.633|            |ndRI       |
|  1.3311|          |      8.594|  46.128|       -0.580|            |ndRI       |
|  1.3320|          |      8.633|  46.063|       -0.684|            |NC         |
|  1.3346|          |      9.259|  46.129|       -1.244|            |ndRI       |
|  1.3384|          |      8.637|  45.519|       -1.232|            |NC         |
|  1.3389|          |      8.682|  45.514|       -1.281|            |ndRI       |
|  1.3404|          |      9.395|  45.048|       -2.461|            |ndRI       |
|  1.3432|          |      8.687|  46.112|       -0.689|            |NC         |
|  1.3436|          |      9.432|  46.223|       -1.323|            |NC         |
|  1.3437|          |      9.590|  46.557|       -1.147|            |NC         |
|  1.3459|          |      8.845|  45.316|       -1.643|            |ndRI       |
|  1.3463|          |      8.668|  46.055|       -0.727|            |ndRI       |
|  1.3483|          |      8.866|  46.008|       -0.972|            |ndRI       |
|  1.3490|          |      8.382|  45.486|       -1.010|            |           |
|  1.3505|          |      9.159|  46.020|       -1.254|            |ndRI       |
|  1.3548|          |      8.220|  46.223|       -0.111|            |NC         |
|  1.3551|          |      8.606|  45.020|       -1.700|            |NC         |
|  1.3570|          |      9.025|  45.862|       -1.278|            |ndRI       |
|  1.3597|          |      8.578|  46.679|       -0.013|            |ndRI       |
|  1.3597|          |      9.291|  46.514|       -0.891|            |ndRI       |
|  1.3616|          |      8.452|  46.149|       -0.417|            |NC         |
|  1.3617|          |      9.169|  46.523|       -0.760|            |ndRI       |
|  1.3632|          |      8.993|  45.272|       -1.834|            |NC         |
|  1.3636|          |      8.783|  46.473|       -0.424|            |ndRI       |
|  1.3757|          |      8.822|  45.655|       -1.281|            |NC         |
|  1.3767|          |      8.648|  45.352|       -1.410|            |NC         |
|  1.3775|    3.4517|      9.171|  48.079|        0.794|      2.9151|dRI        |
|  1.3804|          |      9.089|  46.372|       -0.831|            |ndRI       |
|  1.3806|    1.4105|      9.026|  46.668|       -0.472|      1.1920|dRI        |
|  1.3823|          |      9.302|  45.955|       -1.461|            |ndRI       |
|  1.3835|          |      9.058|  46.631|       -0.541|            |ndRI       |
|  1.3860|          |      8.999|  46.468|       -0.646|            |ndRI       |
|  1.3878|          |      8.913|  45.704|       -1.323|            |ndRI       |
|  1.3885|          |      9.146|  46.505|       -0.755|            |ndRI       |
|  1.3898|          |      8.823|  46.091|       -0.845|            |           |
|  1.3900|  206.1015|      9.091|  47.117|       -0.088|    174.5193|RL         |
|  1.3901|          |      9.117|  46.745|       -0.486|            |ndRI       |
|  1.3902|          |      9.063|  46.386|       -0.791|            |ndRI       |
|  1.3922|          |      9.147|  45.214|       -2.047|            |           |
|  1.3968|   12.9486|      9.308|  46.464|       -0.959|     10.9798|RL         |
|  1.3970|          |      9.234|  46.044|       -1.304|            |ndRI       |
|  1.4000|          |      8.757|  46.270|       -0.601|            |           |
|  1.4015|          |      8.822|  45.753|       -1.183|            |           |
|  1.4026|          |      9.011|  46.707|       -0.418|            |ndRI       |
|  1.4034|          |      8.964|  45.515|       -1.562|            |ndRI       |
|  1.4040|          |      8.986|  46.106|       -0.994|            |NC         |
|  1.4042|          |      8.750|  46.178|       -0.686|            |NC         |
|  1.4050|    4.6233|      9.453|  46.484|       -1.083|      3.9272|RL         |
|  1.4070|          |      9.155|  45.894|       -1.374|            |ndRI       |
|  1.4073|          |      8.983|  46.415|       -0.682|            |NC         |
|  1.4120|          |      8.909|  46.436|       -0.588|            |NC         |
|  1.4151|          |      8.975|  46.253|       -0.836|            |ndRI       |
|  1.4172|    2.2010|      7.741|  46.443|        0.588|      1.8743|RL         |
|  1.4182|          |      9.352|  46.257|       -1.209|            |ndRI       |
|  1.4218|    3.8065|      8.884|  44.560|       -2.437|      3.2446|RL         |
|  1.4237|          |      8.021|  46.724|        0.589|            |NC         |
|  1.4253| 1283.4204|      9.143|  48.137|        0.879|   1094.7410|RL         |
|  1.4300|          |      8.832|  45.528|       -1.418|            |ndRI       |
|  1.4324|          |      8.896|  45.725|       -1.285|            |NC         |
|  1.4342|          |      8.781|  46.642|       -0.253|            |ndRI       |
|  1.4423|          |      8.771|  46.275|       -0.610|            |NC         |
|  1.4448|    4.7779|      9.103|  46.363|       -0.854|      4.0919|RL         |
|  1.4495|          |      8.408|  46.564|        0.042|            |ndRI       |
|  1.4527|          |      9.628|  46.912|       -0.830|            |NC         |
|  1.4536|   10.2799|      9.548|  46.638|       -1.024|      8.8196|RL         |
|  1.4592|    1.5973|      8.979|  45.710|       -1.384|      1.3720|NC         |
|  1.4615|          |      8.773|  46.564|       -0.323|            |NC         |
|  1.4625|          |      9.126|  46.252|       -0.988|            |ndRI       |
|  1.4637|          |      8.580|  46.425|       -0.269|            |ndRI       |
|  1.4658|          |      8.944|  46.296|       -0.762|            |NC         |
|  1.4665|          |      8.727|  46.522|       -0.319|            |ndRI       |
|  1.4678|    5.0549|      8.992|  47.049|       -0.057|      4.3494|RL         |
|  1.4714|          |      8.694|  46.584|       -0.224|            |ndRI       |
|  1.4719|    1.3168|      8.923|  45.999|       -1.038|      1.1340|dRI        |
|  1.4747|          |      9.626|  47.268|       -0.472|            |RQ         |
|  1.4765|          |      8.680|  45.781|       -1.014|            |ndRI       |
|  1.4777|          |      8.846|  46.062|       -0.898|            |ndRI       |
|  1.4804|          |      8.975|  46.756|       -0.332|            |ndRI       |
|  1.4846|          |      8.444|  45.521|       -1.037|            |NC         |
|  1.4861|          |      9.095|  45.573|       -1.636|            |ndRI       |
|  1.4865|          |      8.998|  45.968|       -1.144|            |ndRI       |
|  1.4868|  267.7346|      8.472|  46.118|       -0.469|    231.2498|RL         |
|  1.4868|          |      8.990|  46.467|       -0.638|            |ndRI       |
|  1.4872|          |      9.233|  45.566|       -1.781|            |NC         |
|  1.4894|          |      8.806|  46.663|       -0.256|            |ndRI       |
|  1.4912|          |      8.466|  45.322|       -1.258|            |ndRI       |
|  1.4934|  156.0718|      8.664|  47.348|        0.569|    134.9836|RL         |
|  1.4937|          |      8.982|  46.515|       -0.581|            |ndRI       |
|  1.4970|          |      9.275|  45.875|       -1.515|            |NC         |
|  1.4971|          |      9.204|  46.558|       -0.760|            |ndRI       |
|  1.5000|          |      8.905|  45.845|       -1.174|            |           |
|  1.5029|          |      8.999|  45.539|       -1.575|            |NC         |
|  1.5041|          |      8.714|  46.567|       -0.260|            |NC         |
|  1.5045|          |      8.715|  46.124|       -0.705|            |NC         |
|  1.5066|   35.1565|      8.496|  47.048|        0.439|     30.4867|RL         |
|  1.5079|          |      9.062|  45.190|       -1.985|            |ndRI       |
|  1.5095|          |      8.879|  47.048|        0.055|            |NC         |
|  1.5103|    1.0417|      9.174|  45.802|       -1.486|      0.9040|NC         |
|  1.5110|          |      8.444|  46.081|       -0.477|            |NC         |
|  1.5142|   44.1249|      9.261|  46.868|       -0.507|     38.3216|RL         |
|  1.5143|          |      8.887|  46.287|       -0.714|            |           |
|  1.5144|          |      8.970|  46.433|       -0.651|            |ndRI       |
|  1.5163|          |      8.277|  46.043|       -0.348|            |NC         |
|  1.5183|          |      8.984|  46.136|       -0.962|            |ndRI       |
|  1.5188|          |      8.472|  46.114|       -0.472|            |NC         |
|  1.5189|          |      8.968|  46.352|       -0.729|            |NC         |
|  1.5193|          |      9.094|  46.019|       -1.189|            |ndRI       |
|  1.5203|          |      9.180|  46.624|       -0.670|            |ndRI       |
|  1.5210|          |      9.027|  46.339|       -0.802|            |ndRI       |
|  1.5210|          |      9.054|  46.534|       -0.633|            |NC         |
|  1.5238|          |      9.194|  46.068|       -1.241|            |ndRI       |
|  1.5244|          |      8.479|  45.359|       -1.234|            |NC         |
|  1.5244|          |      9.053|  45.415|       -1.752|            |ndRI       |
|  1.5271|          |      9.105|  46.239|       -0.980|            |ndRI       |
|  1.5328|          |      9.014|  46.044|       -1.084|            |ndRI       |
|  1.5344|          |      9.010|  46.693|       -0.432|            |ndRI       |
|  1.5350|          |      9.135|  46.255|       -0.994|            |ndRI       |
|  1.5353|          |      8.902|  46.318|       -0.698|            |NC         |
|  1.5356|          |      9.682|  46.118|       -1.679|            |           |
|  1.5356|          |      8.808|  45.974|       -0.947|            |NC         |
|  1.5366|          |      9.067|  46.757|       -0.424|            |ndRI       |
|  1.5373|          |      9.151|  46.103|       -1.162|            |ndRI       |
|  1.5375|          |      8.702|  46.536|       -0.280|            |NC         |
|  1.5393|          |      9.054|  45.988|       -1.180|            |ndRI       |
|  1.5452|          |      9.215|  46.558|       -0.771|            |ndRI       |
|  1.5477|          |      9.706|  46.402|       -1.417|            |           |
|  1.5487|          |      9.345|  45.740|       -1.719|            |ndRI       |
|  1.5489|          |      8.417|  46.127|       -0.404|            |NC         |
|  1.5489|          |      8.913|  45.614|       -1.414|            |ndRI       |
|  1.5508|          |      8.861|  45.829|       -1.147|            |NC         |
|  1.5510|          |      9.129|  45.993|       -1.250|            |ndRI       |
|  1.5510|          |      8.375|  45.925|       -0.564|            |NC         |
|  1.5519|          |      9.444|  46.527|       -1.031|            |ndRI       |
|  1.5525|          |      8.365|  46.013|       -0.465|            |NC         |
|  1.5536|          |      9.412|  45.743|       -1.783|            |ndRI       |
|  1.5563|          |      8.665|  46.424|       -0.356|            |ndRI       |
|  1.5571|          |      8.695|  46.113|       -0.696|            |NC         |
|  1.5586|   11.1418|      8.955|  47.205|        0.136|      9.7616|RL         |
|  1.5596|          |      8.167|  46.041|       -0.239|            |NC         |
|  1.5602|          |      8.836|  46.388|       -0.562|            |ndRI       |
|  1.5603|          |      8.633|  45.402|       -1.345|            |NC         |
|  1.5606|          |      8.837|  46.073|       -0.878|            |NC         |
|  1.5618|          |      9.347|  46.577|       -0.884|            |ndRI       |
|  1.5626|          |      8.800|  46.162|       -0.752|            |NC         |
|  1.5638|          |      8.737|  45.847|       -1.005|            |NC         |
|  1.5652|          |      9.154|  46.497|       -0.771|            |ndRI       |
|  1.5685|    2.5122|      9.154|  46.201|       -1.067|      2.2053|RL         |
|  1.5699|          |      8.382|  45.978|       -0.518|            |NC         |
|  1.5708|          |      8.842|  44.596|       -2.360|            |NC         |
|  1.5746|          |      9.299|  46.600|       -0.813|            |ndRI       |
|  1.5770|          |      9.267|  46.496|       -0.885|            |ndRI       |
|  1.5783|          |      9.070|  46.342|       -0.843|            |ndRI       |
|  1.5818|          |      9.072|  46.565|       -0.621|            |NC         |
|  1.5826|          |      8.654|  46.074|       -0.695|            |           |
|  1.5828|    3.5341|      8.568|  46.769|        0.087|      3.1109|RL         |
|  1.5849|          |      9.182|  45.956|       -1.340|            |NC         |
|  1.5880|          |      8.996|  46.046|       -1.064|            |NC         |
|  1.5893|          |      9.205|  45.961|       -1.359|            |ndRI       |
|  1.5912|          |      9.358|  46.243|       -1.229|            |ndRI       |
|  1.5916|          |      8.919|  47.261|        0.228|            |NC         |
|  1.5919|          |      9.032|  46.453|       -0.693|            |           |
|  1.5926|          |      8.786|  46.337|       -0.563|            |ndRI       |
|  1.5929|          |      8.972|  47.055|       -0.030|            |ndRI       |
|  1.5935|          |      8.705|  46.030|       -0.789|            |NC         |
|  1.5949|          |      9.449|  46.857|       -0.706|            |ndRI       |
|  1.5957|          |      9.211|  46.171|       -1.154|            |ndRI       |
|  1.5973|          |      9.588|  46.808|       -0.895|            |ndRI       |
|  1.5976|          |      8.276|  46.139|       -0.251|            |           |
|  1.5985|          |      9.096|  46.653|       -0.556|            |NC         |
|  1.5993|          |      9.267|  46.489|       -0.892|            |ndRI       |
|  1.5997|          |      8.806|  46.210|       -0.709|            |ndRI       |
|  1.6001|          |      8.956|  45.307|       -1.763|            |ndRI       |
|  1.6036|          |      8.742|  45.899|       -0.957|            |ndRI       |
|  1.6047|          |      8.774|  46.289|       -0.599|            |NC         |
|  1.6047|          |      9.152|  46.347|       -0.919|            |ndRI       |
|  1.6058|          |      8.844|  46.457|       -0.501|            |ndRI       |
|  1.6084|          |      8.143|  45.788|       -0.468|            |NC         |
|  1.6098|          |      9.155|  46.600|       -0.669|            |ndRI       |
|  1.6108|    2.0600|      9.383|  46.115|       -1.382|      1.8231|RL         |
|  1.6127|          |      9.083|  45.990|       -1.207|            |NC         |
|  1.6138|          |      9.940|  46.652|       -1.402|            |ndRI       |
|  1.6168|          |      9.141|  46.888|       -0.368|            |ndRI       |
|  1.6180|          |      8.681|  46.135|       -0.660|            |NC         |
|  1.6274|          |      8.142|  45.677|       -0.579|            |NC         |
|  1.6295|          |      8.826|  46.693|       -0.247|            |ndRI       |
|  1.6319|  100.4327|      9.284|  48.110|        0.712|     89.2423|RL         |
|  1.6326|          |      8.494|  46.337|       -0.271|            |NC         |
|  1.6352|          |      8.766|  45.825|       -1.055|            |ndRI       |
|  1.6376|          |      9.344|  46.629|       -0.829|            |ndRI       |
|  1.6404|          |      8.638|  45.861|       -0.891|            |NC         |
|  1.6428|          |      9.497|  46.955|       -0.656|            |ndRI       |
|  1.6459|          |      9.032|  46.511|       -0.634|            |ndRI       |
|  1.6472|          |      8.610|  45.835|       -0.889|            |ndRI       |
|  1.6520|          |      9.036|  44.515|       -2.635|            |NC         |
|  1.6557|          |      8.719|  46.037|       -0.796|            |ndRI       |
|  1.6558|          |      9.114|  46.154|       -1.074|            |ndRI       |
|  1.6562|          |      9.071|  45.976|       -1.209|            |ndRI       |
|  1.6573|          |      9.157|  46.076|       -1.195|            |NC         |
|  1.6605|          |      9.273|  46.550|       -0.838|            |ndRI       |
|  1.6614|          |      8.881|  45.905|       -1.089|            |NC         |
|  1.6643|          |      9.189|  46.798|       -0.505|            |ndRI       |
|  1.6644|          |      8.064|  46.093|       -0.084|            |NC         |
|  1.6673|          |      9.308|  46.558|       -0.864|            |ndRI       |
|  1.6678|          |      9.217|  46.383|       -0.947|            |ndRI       |
|  1.6684|          |      8.482|  47.023|        0.428|            |ndRI       |
|  1.6695|          |      9.029|  45.913|       -1.230|            |ndRI       |
|  1.6698|    3.1300|      9.035|  45.986|       -1.164|      2.8012|RL         |
|  1.6710|          |      8.311|  47.027|        0.603|            |NC         |
|  1.6712|          |      8.649|  46.733|       -0.030|            |NC         |
|  1.6729|    5.3789|      8.843|  47.000|        0.043|      4.8167|NC         |
|  1.6754|          |      8.640|  46.358|       -0.396|            |NC         |
|  1.6759|   19.4091|      9.091|  47.108|       -0.097|     17.3899|RL         |
|  1.6780|          |      9.035|  46.515|       -0.633|            |NC         |
|  1.6803|          |      9.158|  46.501|       -0.771|            |ndRI       |
|  1.6830|          |      9.350|  46.235|       -1.229|            |ndRI       |
|  1.6862|          |      8.845|  45.819|       -1.139|            |NC         |
|  1.6903|          |      9.442|  46.395|       -1.161|            |ndRI       |
|  1.6926|          |      9.727|  47.378|       -0.463|            |ndRI       |
|  1.6973|          |      8.941|  46.251|       -0.804|            |ndRI       |
|  1.7014|          |      8.985|  46.147|       -0.952|            |NC         |
|  1.7027|          |      8.868|  46.015|       -0.967|            |ndRI       |
|  1.7047|          |      8.861|  45.617|       -1.358|            |NC         |
|  1.7061|          |      8.555|  46.939|        0.270|            |ndRI       |
|  1.7108|          |      9.291|  46.769|       -0.637|            |ndRI       |
|  1.7116|          |      9.049|  46.036|       -1.126|            |ndRI       |
|  1.7134|          |      8.583|  46.241|       -0.456|            |ndRI       |
|  1.7146|          |      8.873|  46.637|       -0.350|            |ndRI       |
|  1.7151|          |      8.838|  46.577|       -0.375|            |ndRI       |
|  1.7160|          |      8.585|  45.472|       -1.227|            |NC         |
|  1.7161|          |      8.332|  46.092|       -0.353|            |NC         |
|  1.7165|          |      9.298|  46.744|       -0.668|            |ndRI       |
|  1.7210|          |      9.195|  46.126|       -1.182|            |ndRI       |
|  1.7218|          |      8.707|  46.032|       -0.790|            |NC         |
|  1.7221|          |      8.926|  46.603|       -0.437|            |ndRI       |
|  1.7228|          |      9.198|  46.498|       -0.813|            |           |
|  1.7233|          |      9.028|  46.346|       -0.796|            |ndRI       |
|  1.7270|          |      9.102|  46.176|       -1.040|            |ndRI       |
|  1.7297|          |      9.700|  47.130|       -0.684|            |NC         |
|  1.7348|          |      9.036|  46.394|       -0.756|            |ndRI       |
|  1.7350|          |      9.585|  47.923|        0.224|            |RQ         |
|  1.7396|          |      9.133|  45.440|       -1.807|            |NC         |
|  1.7491|          |      8.363|  45.745|       -0.733|            |NC         |
|  1.7495|          |      9.207|  46.337|       -0.985|            |ndRI       |
|  1.7509|          |      8.577|  45.317|       -1.374|            |NC         |
|  1.7512|          |      8.775|  45.845|       -1.044|            |NC         |
|  1.7535|          |      8.582|  46.390|       -0.306|            |NC         |
|  1.7535|          |      8.727|  46.602|       -0.239|            |ndRI       |
|  1.7541|          |      9.076|  46.497|       -0.693|            |ndRI       |
|  1.7573|          |      9.165|  47.067|       -0.213|            |ndRI       |
|  1.7580|          |      9.168|  46.056|       -1.226|            |ndRI       |
|  1.7609|          |      8.989|  46.231|       -0.872|            |ndRI       |
|  1.7613|          |      9.042|  45.970|       -1.186|            |ndRI       |
|  1.7614|          |      8.769|  46.198|       -0.685|            |NC         |
|  1.7623|          |      8.797|  46.912|        0.001|            |NC         |
|  1.7651|          |      9.190|  46.097|       -1.207|            |ndRI       |
|  1.7678|          |      9.420|  46.254|       -1.280|            |NC         |
|  1.7684|          |      8.943|  47.091|        0.034|            |           |
|  1.7706|          |      9.498|  46.528|       -1.084|            |NC         |
|  1.7716|          |      9.077|  46.585|       -0.606|            |NC         |
|  1.7723|          |      9.199|  45.253|       -2.060|            |NC         |
|  1.7750|          |      9.050|  45.876|       -1.288|            |ndRI       |
|  1.7754|          |      8.510|  46.450|       -0.174|            |NC         |
|  1.7784|          |      8.856|  46.225|       -0.746|            |NC         |
|  1.7785|          |      8.894|  46.768|       -0.240|            |NC         |
|  1.7836|          |      9.248|  46.805|       -0.557|            |ndRI       |
|  1.7865|          |      9.250|  46.352|       -1.012|            |NC         |
|  1.7873|          |      9.101|  46.616|       -0.599|            |ndRI       |
|  1.7885|          |      9.433|  46.407|       -1.139|            |ndRI       |
|  1.7896|          |      9.236|  46.143|       -1.207|            |NC         |
|  1.7896|          |      9.240|  46.419|       -0.934|            |ndRI       |
|  1.7915|          |      9.691|  45.955|       -1.850|            |ndRI       |
|  1.7925|          |      9.135|  46.363|       -0.886|            |NC         |
|  1.7940|          |      8.978|  46.462|       -0.630|            |ndRI       |
|  1.7954|          |      8.810|  46.392|       -0.533|            |ndRI       |
|  1.7961|          |      8.855|  46.310|       -0.658|            |NC         |
|  1.7977|          |      9.055|  46.830|       -0.339|            |ndRI       |
|  1.7996|          |      8.699|  46.554|       -0.259|            |NC         |
|  1.8001|          |      8.519|  46.696|        0.063|            |NC         |
|  1.8005|          |      8.579|  46.540|       -0.153|            |NC         |
|  1.8013|          |      8.883|  46.410|       -0.588|            |NC         |
|  1.8039|          |      8.940|  46.366|       -0.688|            |NC         |
|  1.8056|          |      8.991|  46.390|       -0.715|            |NC         |
|  1.8089|          |      8.738|  46.124|       -0.728|            |NC         |
|  1.8096|          |      9.039|  46.070|       -1.083|            |ndRI       |
|  1.8111|          |      8.786|  46.787|       -0.113|            |NC         |
|  1.8118|          |      9.275|  45.696|       -1.693|            |NC         |
|  1.8124|          |      9.346|  46.597|       -0.863|            |ndRI       |
|  1.8134|          |      8.824|  46.207|       -0.731|            |ndRI       |
|  1.8155|          |      9.407|  46.446|       -1.074|            |ndRI       |
|  1.8162|          |      9.053|  46.602|       -0.564|            |ndRI       |
|  1.8174|          |      9.315|  46.565|       -0.864|            |ndRI       |
|  1.8223|          |      8.899|  46.779|       -0.234|            |ndRI       |
|  1.8250|          |      9.060|  46.931|       -0.244|            |NC         |
|  1.8257|          |      8.920|  46.268|       -0.766|            |ndRI       |
|  1.8339|          |      8.923|  46.475|       -0.562|            |ndRI       |
|  1.8342|          |      8.345|  45.733|       -0.726|            |NC         |
|  1.8382|    2.9204|      9.256|  45.959|       -1.410|      2.6948|RL         |
|  1.8387|          |      9.143|  46.660|       -0.597|            |           |
|  1.8399|          |      8.797|  46.155|       -0.756|            |NC         |
|  1.8407|          |      8.530|  45.598|       -1.046|            |ndRI       |
|  1.8435|    1.0500|      8.652|  46.193|       -0.572|      0.9698|RL         |
|  1.8471|          |      8.826|  46.589|       -0.351|            |NC         |
|  1.8474|          |      8.611|  46.112|       -0.613|            |NC         |
|  1.8505|          |      8.265|  45.459|       -0.920|            |NC         |
|  1.8542|          |      8.942|  45.508|       -1.547|            |           |
|  1.8553|          |      9.291|  46.580|       -0.825|            |ndRI       |
|  1.8577|          |      9.403|  46.903|       -0.614|            |ndRI       |
|  1.8594|          |      8.602|  46.089|       -0.627|            |NC         |
|  1.8609|    1.0897|      9.466|  47.198|       -0.382|      1.0096|dRI        |
|  1.8628|          |      8.863|  46.845|       -0.132|            |ndRI       |
|  1.8630|          |      9.109|  46.176|       -1.047|            |NC         |
|  1.8643|          |      8.689|  46.410|       -0.392|            |NC         |
|  1.8664|          |      9.394|  46.373|       -1.134|            |ndRI       |
|  1.8665|          |      8.780|  46.511|       -0.383|            |NC         |
|  1.8672|          |      9.057|  46.447|       -0.724|            |NC         |
|  1.8711|          |      8.666|  46.741|       -0.039|            |NC         |
|  1.8722|          |      9.437|  46.810|       -0.741|            |ndRI       |
|  1.8731|          |      8.113|  46.290|        0.063|            |NC         |
|  1.8733|  264.3662|      8.577|  47.245|        0.554|    245.4475|RL         |
|  1.8743|    4.8700|      8.801|  45.481|       -1.434|      4.5223|RL         |
|  1.8770|          |      8.948|  46.973|       -0.089|            |ndRI       |
|  1.8774|          |      8.925|  46.469|       -0.571|            |ndRI       |
|  1.8778|          |      8.273|  46.193|       -0.194|            |NC         |
|  1.8804|          |      8.658|  45.691|       -1.081|            |NC         |
|  1.8837|          |      8.732|  46.016|       -0.830|            |NC         |
|  1.8853|          |      8.067|  46.647|        0.466|            |ndRI       |
|  1.8870|          |      8.740|  45.581|       -1.273|            |ndRI       |
|  1.8871|          |      8.797|  46.632|       -0.278|            |NC         |
|  1.8886|          |      9.378|  46.337|       -1.155|            |NC         |
|  1.8921|   16.1306|      8.455|  46.552|       -0.016|     15.0251|RL         |
|  1.8945|   78.2834|      9.347|  47.260|       -0.202|     72.9485|RL         |
|  1.8946|          |      9.062|  46.918|       -0.258|            |ndRI       |
|  1.8986|          |      9.049|  46.465|       -0.698|            |ndRI       |
|  1.8987|          |      9.093|  45.593|       -1.614|            |NC         |
|  1.8987|          |      9.185|  46.575|       -0.725|            |ndRI       |
|  1.8990|          |      8.742|  46.117|       -0.739|            |NC         |
|  1.8995|          |      9.063|  46.376|       -0.801|            |ndRI       |
|  1.9005|          |      8.851|  46.034|       -0.930|            |ndRI       |
|  1.9022|          |      8.768|  46.228|       -0.654|            |NC         |
|  1.9076|          |      9.834|  46.937|       -1.011|            |ndRI       |
|  1.9081|          |      8.803|  46.092|       -0.825|            |ndRI       |
|  1.9119|          |      9.472|  46.983|       -0.604|            |ndRI       |
|  1.9123|          |      9.049|  46.038|       -1.125|            |ndRI       |
|  1.9149|          |      9.099|  47.470|        0.257|            |ndRI       |
|  1.9151|          |      9.216|  46.418|       -0.912|            |ndRI       |
|  1.9190|    0.8427|      8.680|  46.530|       -0.264|      0.7886|RL         |
|  1.9201|          |      9.060|  46.454|       -0.721|            |ndRI       |
|  1.9203|          |      9.353|  46.292|       -1.175|            |ndRI       |
|  1.9206|          |      8.643|  46.788|        0.031|            |NC         |
|  1.9226|          |      8.667|  46.221|       -0.560|            |NC         |
|  1.9229|          |      9.068|  45.948|       -1.234|            |NC         |
|  1.9233|          |      9.079|  46.584|       -0.610|            |ndRI       |
|  1.9233|          |      8.994|  46.680|       -0.428|            |ndRI       |
|  1.9235|          |      9.137|  46.138|       -1.113|            |NC         |
|  1.9261|          |      9.904|  47.375|       -0.642|            |ndRI       |
|  1.9301|          |      9.158|  46.435|       -0.836|            |ndRI       |
|  1.9314|          |      8.866|  46.265|       -0.715|            |NC         |
|  1.9321|          |      9.097|  46.491|       -0.720|            |ndRI       |
|  1.9336|          |      8.580|  46.188|       -0.506|            |NC         |
|  1.9338|          |      8.622|  46.407|       -0.329|            |ndRI       |
|  1.9341|          |      8.828|  46.538|       -0.404|            |ndRI       |
|  1.9344|          |      9.044|  46.413|       -0.745|            |NC         |
|  1.9356|          |      9.034|  47.251|        0.103|            |ndRI       |
|  1.9450|          |      9.166|  46.523|       -0.757|            |NC         |
|  1.9463|          |      9.254|  47.118|       -0.250|            |ndRI       |
|  1.9477|          |      8.935|  47.171|        0.122|            |NC         |
|  1.9514|          |      9.346|  46.568|       -0.892|            |ndRI       |
|  1.9517|          |      8.807|  46.310|       -0.612|            |NC         |
|  1.9524|          |      8.323|  45.926|       -0.511|            |NC         |
|  1.9535|          |      8.827|  45.906|       -1.035|            |NC         |
|  1.9551|          |      8.851|  46.537|       -0.428|            |           |
|  1.9566|          |      9.532|  46.495|       -1.151|            |NC         |
|  1.9584|          |      8.524|  45.989|       -0.649|            |NC         |
|  1.9587|          |      8.922|  46.545|       -0.490|            |NC         |
|  1.9600|          |      9.097|  46.882|       -0.328|            |ndRI       |
|  1.9600|          |      8.954|  45.741|       -1.327|            |ndRI       |
|  1.9605|          |      8.938|  46.631|       -0.421|            |ndRI       |
|  1.9685|          |      8.778|  47.036|        0.144|            |NC         |
|  1.9731|  272.4497|      9.050|  47.305|        0.141|    257.3075|RL         |
|  1.9733|          |      8.952|  45.610|       -1.457|            |ndRI       |
|  1.9752|          |      9.544|  47.007|       -0.651|            |           |
|  1.9754|          |      9.323|  46.214|       -1.223|            |ndRI       |
|  1.9899|          |      9.566|  46.068|       -1.612|            |ndRI       |
|  1.9918|          |      8.749|  46.616|       -0.246|            |ndRI       |
|  1.9944|          |      9.164|  47.410|        0.133|            |ndRI       |
|  1.9945|    1.7750|      9.542|  46.719|       -0.937|      1.6824|ndRI       |
|  2.0006|          |      9.373|  46.286|       -1.201|            |ndRI       |
|  2.0042|          |      8.914|  45.867|       -1.160|            |ndRI       |
|  2.0055|          |      8.892|  46.187|       -0.819|            |NC         |
|  2.0080|          |      9.363|  46.236|       -1.241|            |NC         |
|  2.0114|    1.2928|      8.660|  46.563|       -0.211|      1.2288|NC         |
|  2.0232|          |      9.114|  44.842|       -2.385|            |ndRI       |
|  2.0255|          |      9.033|  45.982|       -1.165|            |ndRI       |
|  2.0270|          |      9.160|  46.947|       -0.327|            |ndRI       |
|  2.0284|          |      9.169|  47.626|        0.343|            |ndRI       |
|  2.0336|          |      9.223|  46.111|       -1.226|            |ndRI       |
|  2.0347|          |      9.429|  46.928|       -0.615|            |           |
|  2.0390|          |      9.283|  46.771|       -0.626|            |ndRI       |
|  2.0394|          |      8.768|  45.799|       -1.082|            |NC         |
